time,v_id,trip_utilisation
15391,42,0.46129470348574014
15396,447,0.6903032891926527
15414,319,0.25616698292220114
15415,29,0.6592015579357352
15421,277,0.4628522630230572
15426,83,0.3437051220679751
15427,407,0.7425
15431,238,0.6070878274268104
15433,394,0.6234234234234234
15442,298,0.6223055295220243
15443,190,0.9039755351681957
15450,303,0.5019546520719312
15451,341,0.5169902912621359
15458,481,0.7031763417305587
15465,291,0.7211815561959655
15467,90,0.6639427987742594
15469,149,0.6135531135531136
15481,488,0.627906976744186
15496,304,0.8911745189117452
15497,377,0.2587768969422424
15498,480,0.8144144144144144
15502,402,0.7374866879659212
15507,396,0.6593095642331636
15507,183,0.07789580171977745
15508,9,0.47775628626692457
15512,307,0.5055158987670344
15513,99,0.7829896907216495
15515,460,0.501577287066246
15516,368,0.555367709213863
15518,49,0.7449025826914364
15520,157,0.7379543533389687
15525,362,0.5581787521079258
15527,280,0.08900624718232755
15534,461,0.6541984732824427
15544,97,0.5916585838991271
15547,355,0.6824561403508772
15555,302,0.35172413793103446
15560,354,0.6862464183381088
15560,55,0.6021671826625387
15571,296,0.5570687418936446
15580,110,0.7706837929731771
15583,352,0.30280172413793105
15592,416,0.6104046242774567
15601,257,0.8111111111111111
15602,468,0.4978102189781022
15603,373,0.7863247863247863
15615,219,0.5750935328701229
15622,334,0.17747660535656665
15622,124,0.6819141449683321
15623,403,0.6261682242990654
15639,170,0.611671469740634
15641,93,0.709106239460371
15650,387,0.0465814696485623
15653,417,0.07270171852041142
15671,147,0.5748129675810474
15678,441,0.676737160120846
15682,423,0.6202974628171478
15682,17,0.5135834411384217
15693,458,0.7419786096256684
15697,374,0.5752788104089219
15701,485,0.22566995768688294
15701,159,0.582089552238806
15706,299,0.36984687868080096
15706,446,0.6719298245614035
15707,56,0.6632047477744807
15707,332,0.5844255975327679
15709,366,0.111019160990515
15710,62,0.5326797385620915
15715,48,0.43562610229276894
15719,14,0.6082519964507542
15721,420,0.6201702685003274
15723,359,0.39640102827763496
15723,422,0.22895125553914328
15727,489,0.6524329692154915
15728,389,0.08086077600260841
15730,173,0.7497708524289642
15735,230,0.09189704480457579
15743,338,0.6004304160688666
15743,241,0.5901455767077267
15745,233,0.09965068275643062
15745,476,0.0939980946332169
15758,213,0.30402822699206117
15759,408,0.8993163455562461
15769,337,0.5847240051347882
15770,378,0.13272035510462904
15771,102,0.5696539485359361
15771,432,0.8764227642276423
15774,158,0.17061611374407584
15783,445,0.6140667267808837
15789,113,0.5617816091954023
15792,4,0.7899356348741955
15799,401,0.8655761024182077
15807,43,0.3244274809160305
15815,218,0.6804697156983931
15819,94,0.5553728070175439
15830,69,0.09886291850915982
15831,274,0.6245519713261649
15834,451,0.5616512764801738
15836,317,0.6360078277886497
15841,357,0.03705574143046525
15846,443,0.4996501049685094
15851,205,0.2255877034358047
15852,231,0.5240174672489083
15856,41,0.7681592039800995
15861,469,0.2198581560283688
15864,475,0.7334894613583138
15865,434,0.5105708245243129
15866,204,0.5031789282470481
15866,165,0.7232188621219887
15867,323,0.6962233169129721
15871,70,0.5444340505144996
15878,281,0.5430597771023303
15881,101,0.05390088785340973
15883,386,0.7373333333333333
15888,331,0.6887323943661972
15890,100,0.155202564849898
15895,316,0.6456173421300659
15900,311,0.36586747215404947
15904,411,0.8976201167489897
15905,98,0.032882741276328196
15907,91,0.6979638009049773
15909,203,0.11798353133446476
15923,136,0.23397075365579303
15927,404,0.49693251533742333
15930,6,0.7234494477485132
15930,224,0.6176744186046511
15932,298,0.6551020408163265
15933,107,0.2921854873336196
15933,50,0.6222527472527473
15933,491,0.7174111212397447
15942,189,0.7595628415300546
15944,150,0.6188552188552189
15947,12,0.8711918760021379
15951,457,0.2315180215732702
15952,400,0.7908163265306123
15961,138,0.18746021642266072
15963,253,0.5096446700507614
15972,486,0.6369092273068268
15977,340,0.8313641245972073
15978,8,0.8385036496350365
15982,335,0.7720403022670025
15985,186,0.4840085287846482
15988,286,0.5088967971530249
15988,235,0.49729311678267596
15992,430,0.8393274170948155
15998,64,0.673216885007278
16002,345,0.5183374083129584
16003,470,0.31887997825200487
16004,31,0.6716188524590164
16004,498,0.7187288708586883
16012,39,0.8238846024823885
16013,212,0.0691313307937301
16016,324,0.34987113402061853
16017,109,0.18495013599274707
16020,108,0.7010785824345146
16032,448,0.8975803778588002
16038,471,0.8987341772151899
16057,175,0.6432432432432432
16060,197,0.6425452276980661
16062,184,0.5548310610551275
16064,292,0.8380308154829011
16067,390,0.3900763358778626
16070,301,0.7320490367775832
16073,211,0.6488
16079,145,0.6275911365260901
16091,250,0.5873099108547457
16097,268,0.686221743810549
16107,229,0.698450536352801
16108,10,0.03308914824931711
16110,455,0.6093210586881473
16113,4,0.9158878504672897
16115,123,0.13478125969593546
16123,369,0.6912013536379019
16129,52,0.7439024390243902
16134,234,0.4752604166666667
16137,144,0.4826989619377163
16138,169,0.23257538309441422
16144,456,0.08331268582755204
16145,478,0.7486910994764397
16150,223,0.28435754189944135
16162,177,0.652093023255814
16162,284,0.5995475113122172
16167,483,0.5910780669144982
16168,435,0.4303030303030303
16172,414,0.7503987240829346
16172,126,0.6942148760330579
16176,36,0.5295670538542767
16178,376,0.2757379409647228
16181,176,0.7866306549628629
16184,16,0.37660599571734477
16184,66,0.7636526410026858
16190,468,0.35374149659863946
16191,80,0.5806111696522656
16193,191,0.60893470790378
16203,482,0.6736174070716229
16209,75,0.09088541666666666
16234,54,0.6013422818791946
16245,371,0.7981900452488688
16246,219,0.4548335974643423
16248,361,0.5532407407407407
16261,269,0.6931986931986932
16264,88,0.8216691068814056
16268,362,0.5639300134589502
16268,403,0.7472868217054264
16273,248,0.5558359621451104
16276,115,0.6617977528089888
16277,272,0.20007196833393306
16280,314,0.5626874625074985
16281,342,0.7146654851572884
16281,159,0.503448275862069
16287,87,0.1500156592546195
16293,65,0.5521472392638037
16295,72,0.8904656319290466
16297,261,0.6163655685441021
16301,79,0.7017699115044248
16303,200,0.7213459516298633
16306,121,0.6943907156673114
16310,119,0.43667658308542284
16312,0,0.6013639181649101
16313,28,0.6065969428801288
16316,275,0.5701198026779423
16328,452,0.140249877511024
16331,384,0.5265049415992812
16339,494,0.6930817610062893
16339,267,0.5900962861072903
16341,334,0.5090403337969402
16348,321,0.6084701815038893
16351,262,0.3473242392444911
16351,398,0.5287269996244837
16357,410,0.6097165991902834
16360,415,0.06803178484107579
16368,277,0.7360084477296727
16369,419,0.6305625524769102
16372,63,0.6876325088339222
16373,216,0.6625708884688091
16373,379,0.503030303030303
16379,304,0.7848244620611552
16381,330,0.6666666666666666
16392,90,0.534054054054054
16400,95,0.8284023668639053
16410,265,0.753099173553719
16412,199,0.7311661506707946
16416,416,0.7075242718446602
16420,402,0.7342047930283224
16426,83,0.42
16430,114,0.5116967722830915
16433,29,0.7053045186640472
16434,278,0.7469084913437758
16439,58,0.6100852272727273
16450,335,0.8034188034188035
16451,253,0.444672131147541
16473,92,0.6121024049650892
16478,206,0.574241617881852
16483,325,0.40927654609101516
16483,187,0.49645390070921985
16496,339,0.2889795918367347
16503,328,0.673202614379085
16507,67,0.6117602713908783
16518,257,0.3293347873500545
16520,333,0.8056516724336793
16520,236,0.5866885784716516
16536,437,0.6207773338176534
16541,84,0.6642857142857143
16550,47,0.6052150045745655
16550,147,0.5551763367463026
16553,346,0.5811715481171548
16568,60,0.6630804077010193
16568,470,0.7858407079646018
16572,381,0.6123207647371216
16580,182,0.5439114391143911
16591,243,0.5623145400593472
16592,351,0.5838509316770186
16601,139,0.0647551352328173
16607,365,0.7404761904761905
16617,405,0.6044678055190539
16621,297,0.2916213275299238
16621,173,0.6262626262626263
16633,427,0.29665851670741644
16634,106,0.7616858237547893
16638,281,0.6855263157894737
16638,186,0.8361408882082695
16650,145,0.649737302977233
16651,374,0.6519916142557652
16651,34,0.07298871496177649
16667,230,0.8283261802575107
16672,172,0.7102189781021898
16677,117,0.7279305354558611
16693,411,0.5082382762991128
16694,221,0.6329516539440203
16695,445,0.8048245614035088
16701,239,0.7391585760517799
16708,412,0.19211370930765703
16709,389,0.5198776758409785
16714,62,0.6982071713147411
16714,224,0.5242346938775511
16716,465,0.8496608892238131
16719,151,0.7512285012285013
16719,368,0.5976724854530341
16735,19,0.5233644859813084
16741,344,0.9116099614170466
16752,459,0.783342119135477
16752,14,0.5082284607938045
16759,27,0.6091661362189688
16774,213,0.7066929133858267
16774,174,0.8325461571489909
16780,444,0.7262334536702768
16782,359,0.5939565627950897
16785,334,0.6621621621621622
16788,336,0.18115055079559364
16789,434,0.6417748917748918
16804,104,0.6
16804,43,0.5917753259779338
16806,392,0.01547066523860526
16810,422,0.6292548298068077
16823,192,0.2552808988764045
16834,457,0.7281993204983013
16840,476,0.6520547945205479
16845,453,0.13190954773869346
16845,229,0.8319783197831978
16863,317,0.5452775073028238
16867,134,0.6147396293027361
16868,188,0.622869708631116
16875,423,0.5272422464375524
16882,425,0.524232633279483
16888,332,0.6511430990685859
16888,50,0.8397905759162304
16889,87,0.4119601328903654
16890,175,0.6158463385354142
16895,240,0.7206035379812695
16904,481,0.5477178423236515
16905,293,0.7591036414565826
16908,284,0.6876675603217158
16914,96,0.5457764289327264
16916,352,0.6841710427606902
16916,407,0.5245130960376091
16921,322,0.1340937296850068
16923,250,0.7427884615384616
16927,158,0.6097137901127494
16928,222,0.4944991314418066
16928,193,0.48996350364963503
16935,489,0.7682119205298014
16940,430,0.6392405063291139
16944,324,0.8254310344827587
16949,316,0.7694497153700189
16952,420,0.39561332250203085
16956,378,0.545531197301855
16956,495,0.35276532137518685
16963,190,0.3243421052631579
16971,20,0.3684759916492693
16977,379,0.5132450331125827
16980,136,0.7048249763481551
16984,450,0.7678132678132679
16989,299,0.534684333593141
16990,203,0.8584643848288621
16992,195,0.1865875912408759
16993,154,0.7780231916068471
16994,118,0.8938580799045915
17002,32,0.32476722532588453
17008,455,0.5679287305122495
17015,303,0.7060702875399361
17023,56,0.7074468085106383
17040,23,0.08392018779342723
17044,349,0.6778206778206778
17049,302,0.4143239625167336
17050,205,0.3986655546288574
17058,436,0.43629914277268694
17061,126,0.766029246344207
17062,176,0.6923950056753689
17063,467,0.5819881053525914
17066,251,0.25833593019632284
17068,377,0.6257161043921069
17070,16,0.5417607223476298
17075,0,0.4429882044560944
17076,337,0.640397857689365
17082,108,0.7099811676082862
17083,120,0.9061920652576937
17090,485,0.6069114470842333
17095,435,0.6062567421790723
17101,121,0.6855345911949685
17110,153,0.6878944348823867
17127,301,0.6035950804162725
17128,323,0.6471054718477399
17130,247,0.7531677648251394
17131,166,0.7343124165554072
17131,207,0.8019250253292807
17143,342,0.6252900232018561
17156,383,0.9726757747417527
17163,257,0.7162790697674418
17169,69,0.5810306198655714
17179,225,0.5170792854904419
17183,97,0.687614399023795
17188,399,0.5561108587005906
17191,449,0.6154210028382214
17200,209,0.029011627906976745
17201,105,0.31946594427244585
17201,238,0.6728813559322034
17208,362,0.6404255319148936
17209,194,0.1758606387391124
17213,441,0.7928338762214984
17213,307,0.31040564373897706
17215,432,0.49653739612188363
17224,406,0.4788391777509069
17224,259,0.6772997032640949
17235,41,0.2864394488759971
17248,380,0.26683826683826684
