p_id,request_t,trip_d,trip_t,VoT,fare,prefer_EV
3947,24784,10857.884896062887,978,0.008522222222222223,15.54,True
3948,24788,2975.1013087390447,248,0.008869444444444444,5.81,True
3949,24789,7009.015034763211,733,0.009158333333333333,12.27,True
3950,24796,10408.44896954655,683,0.00795,11.61,True
3951,24802,5050.531033708379,512,0.009036111111111111,9.33,True
3952,24806,14833.80852304239,1534,0.009033333333333334,22.95,True
3953,24808,4498.1229636003045,425,0.009338888888888888,8.17,True
3954,24811,3403.9692498857867,362,0.006233333333333334,7.33,True
3955,24821,5081.830773437288,566,0.008819444444444444,10.05,True
3956,24822,17454.846226337686,1676,0.0075472222222222225,24.85,True
3957,24825,6533.341474254083,741,0.007641666666666667,12.38,True
3958,24826,22727.175582730863,1748,0.009297222222222222,25.81,True
3959,24833,5973.780332280229,657,0.009005555555555557,11.26,True
3960,24841,5994.164359238663,672,0.009591666666666667,11.46,True
3961,24859,7893.360140964814,827,0.009363888888888889,13.53,True
3962,24864,5539.919809300972,401,0.008791666666666666,7.85,True
3963,24869,14692.797880360851,1654,0.00986111111111111,24.55,True
3964,24872,8972.654006817476,1032,0.008266666666666667,16.26,True
3965,24880,5476.425458835566,630,0.00875,10.9,True
3966,24883,2321.743568291423,285,0.008425,6.3,True
3967,24884,10517.67324332288,786,0.007677777777777778,12.98,True
3968,24884,1575.1667783742269,176,0.009519444444444445,4.85,True
3969,24886,4723.711384292421,429,0.009083333333333334,8.22,True
3970,24886,9347.803676259262,1059,0.0074222222222222215,16.62,True
3971,24889,5008.920421748767,412,0.008883333333333333,7.99,True
3972,24894,5461.530476604483,513,0.008016666666666667,9.34,True
3973,24905,14249.933390382294,1624,0.009425,24.15,True
3974,24930,4309.858165176327,353,0.00803611111111111,7.21,True
3975,24936,7987.834887431212,754,0.009741666666666668,12.55,True
3976,24941,7769.747437200565,881,0.007872222222222221,14.25,True
3977,24944,9576.787786399756,797,0.009080555555555555,13.13,True
3978,24946,9347.102938747315,784,0.008675,12.95,True
3979,24951,6375.844923420446,550,0.009852777777777778,9.83,True
3980,24956,10088.77811850936,803,0.008977777777777777,13.21,True
3981,24958,4718.211047385954,510,0.009977777777777778,9.3,True
3982,24959,5635.40414633216,415,0.008741666666666667,8.03,True
3983,24960,9590.146574775652,916,0.007533333333333334,14.71,True
3984,24962,10700.0061675456,1135,0.008722222222222221,17.63,True
3985,24962,7542.278368719583,626,0.009908333333333333,10.85,True
3986,24963,3499.3956452128937,295,0.006405555555555555,6.43,True
3987,24965,9770.935780964975,901,0.009286111111111111,14.51,True
3988,24973,16735.1921068692,1621,0.00977777777777778,24.11,True
3989,24979,7199.794667124355,696,0.008583333333333333,11.78,True
3990,24982,2448.239868763895,277,0.009458333333333332,6.19,True
3991,24987,8563.617021400409,1014,0.009788888888888889,16.02,True
3992,24994,5438.43297012124,501,0.007552777777777778,9.18,True
3993,24999,27007.09134551368,2203,0.009930555555555555,31.87,True
3994,25001,5647.297254241301,645,0.010422222222222223,11.1,True
3995,25005,8492.029359045748,912,0.007769444444444444,14.66,True
3996,25008,15655.415464624968,1213,0.008986111111111111,18.67,True
3997,25011,3131.996602715345,248,0.009630555555555555,5.81,True
3998,25020,4686.436242332472,369,0.008133333333333334,7.42,True
3999,25024,11419.767364121815,912,0.00926388888888889,14.66,True
4000,25038,6941.80568543278,571,0.007775,10.11,True
4001,25039,5111.933633260118,425,0.008897222222222223,8.17,True
4002,25051,21526.13678099625,2061,0.007830555555555556,29.98,True
4003,25058,5440.992008327166,452,0.010180555555555556,8.53,True
4004,25072,1829.213354536878,172,0.009030555555555556,4.79,True
4005,25073,6243.108411545271,558,0.008280555555555555,9.94,True
4006,25073,746.0608999460699,82,0.009016666666666668,3.59,True
4007,25079,4178.931163341347,322,0.009902777777777778,6.79,True
4008,25079,13759.198185487958,893,0.00878611111111111,14.41,True
4009,25083,7338.688345411355,619,0.008041666666666666,10.75,True
4010,25086,15088.716989149443,1349,0.008847222222222223,20.49,True
4011,25087,3493.8102975183588,394,0.008969444444444445,7.75,True
4012,25090,6978.706093690117,585,0.009241666666666667,10.3,True
4013,25094,7692.622490249966,787,0.008766666666666666,12.99,True
4014,25097,6533.463949522679,661,0.009369444444444444,11.31,True
4015,25108,7295.540616838549,845,0.006711111111111111,13.77,True
4016,25120,18428.8510411105,1593,0.009155555555555556,23.74,True
